"";"distance";"route"
"379";3511;"Москва Москва Кемерово Кемеровская"
"380";420;"Сергиев Посад Московская Нижний Новгород Нижегородская"
"381";48;"Санкт-Петербург Санкт-Петербург Гатчина Ленинградская"
"382";1286;"Москва Москва Сегежа Карелия"
"383";248;"Дзержинск Нижегородская Заволжск Ивановская"
"384";690;"Сокол Вологодская Санкт-Петербург Санкт-Петербург"
"385";1050;"Санкт-Петербург Санкт-Петербург Выкса Нижегородская"
"386";151;"Ногинск Московская Клин Московская"
"387";342;"Ногинск Московская Дзержинск Нижегородская"
"388";1558;"Октябрьск Самарская Кириши Ленинградская"
"389";77;"Ногинск Московская Химки Московская"
"390";2878;"Санкт-Петербург Санкт-Петербург Нягань Ханты-Мансийский Автономный округ - Югра"
"391";291;"Владимир Владимирская Обнинск Калужская"
"392";193;"Ногинск Московская Рязань Рязанская"
"393";759;"Домодедово Московская Санкт-Петербург Санкт-Петербург"
"394";761;"Старая Купавна Московская Санкт-Петербург Санкт-Петербург"
"395";367;"Дзержинск Нижегородская Электроугли Московская"
"396";825;"Сергиев Посад Московская Псков Псковская"
"397";3292;"Сергиев Посад Московская Новосибирск Новосибирская"
"398";776;"Чехов Московская Санкт-Петербург Санкт-Петербург"
"399";30;"Ногинск Московская Электроугли Московская"
"400";1012;"Санкт-Петербург Санкт-Петербург Мценск Орловская"
"401";1403;"Ногинск Московская Адыгейск Адыгея"
"402";47;"Старая Купавна Московская Москва Москва"
"403";1004;"Санкт-Петербург Санкт-Петербург Родники Ивановская"
"404";733;"Лыткарино Московская Санкт-Петербург Санкт-Петербург"
"405";261;"Владимир Владимирская Зарайск Московская"
"406";1579;"Новомосковск Тульская Очер Пермский"
"407";591;"Ногинск Московская Саранск Мордовия"
"408";141;"Старая Купавна Московская Обнинск Калужская"
"409";159;"Ногинск Московская Зарайск Московская"
"410";173;"Новосибирск Новосибирская Юрга Кемеровская"
"411";4022;"Санкт-Петербург Санкт-Петербург Юрга Кемеровская"
"412";430;"Дзержинск Нижегородская Подольск Московская"
"413";907;"Москва Москва Сызрань Самарская"
"414";433;"Нижний Новгород Нижегородская Москва Москва"
"415";1820;"Санкт-Петербург Санкт-Петербург Волгодонск Ростовская"
